year,avg_speed_mph_year,atp_minutes_year
2011,100.73776914799467,108.26758982035928
2012,100.66007563778875,110.28094523630908
2013,100.66010944356621,103.7821401077752
2014,100.30314867392153,104.477734375
2015,101.84349447997533,105.039970392302
2016,102.69346335022234,
2017,100.36248992623807,
2018,101.75901434484535,
2019,101.81530110853647,
2020,101.7034875511837,
2021,102.85703127818769,
2022,101.54568301178526,
2023,102.70720339326748,
2024,101.86355511034148,
