year,minutes,Speed_MPH
2011,108.3189430591738,100.52509125840538
2012,109.73355025307303,100.6239097688431
2013,103.93606431852986,100.55608496761629
2014,104.7,100.20295810106096
2015,105.039970392302,101.73348466875464
