year,avg_speed_mph,atp_minutes
2011,99.64489795918368,108.26758982035928
2011,100.27126534066865,108.26758982035928
2011,99.05615699631026,108.26758982035928
2011,103.97875629581608,108.26758982035928
2012,98.28265247957438,110.28094523630908
2012,99.72356733524356,110.28094523630908
2012,101.46949075846706,110.28094523630908
2012,103.16459197786999,110.28094523630908
2013,99.8613739748315,103.7821401077752
2013,99.80147352375423,103.7821401077752
2013,99.7098383696416,103.7821401077752
2013,103.2677519060375,103.7821401077752
2014,99.34948030529667,104.477734375
2014,99.06236623863029,104.477734375
2014,99.63965001151278,104.477734375
2014,103.16109814024635,104.477734375
2015,102.08113938985336,105.039970392302
2015,100.80627682566741,105.039970392302
2015,99.69106226598252,105.039970392302
2015,104.79549943839808,105.039970392302
2016,101.39479622992168,
2016,99.41837910148267,
2016,99.69399211966945,
2016,110.26668594981561,
2017,100.12179403723474,
2017,98.87791178497588,
2017,98.87115885649024,
2017,103.57909502625145,
2018,100.23605580913535,
2018,100.27039697797565,
2018,104.77059024742503,
2019,100.71862912656292,
2019,100.3677721566423,
2019,104.3595020424042,
2020,101.7034875511837,
2021,101.83357248604942,
2021,103.88049007032598,
2022,99.84662012359074,
2022,103.24474589997975,
2023,100.16344317096465,
2023,105.25096361557033,
2024,99.24155088697658,
2024,104.48555933370636,
