year,tour,aces_per_match,aces_per_100_points
2000,ATP,11.585515130907854,7.330916445238121
2001,ATP,11.262091503267975,7.1544087575178175
2002,ATP,11.275352112676057,7.0866298562623795
2003,ATP,11.283873343151694,7.178930995872589
2003,WTA,4.245901639344262,3.1744734745572285
2004,ATP,11.68125,7.44629754645359
2004,WTA,4.841463414634147,3.447676943117673
2005,ATP,11.379464285714286,7.294367815585914
2005,WTA,4.978260869565218,3.513931690600105
2006,ATP,11.003094910591471,6.976921667989498
2006,WTA,4.575689783743475,3.3354170630282933
2007,ATP,11.561228009658503,7.493962972900456
2007,WTA,4.674742268041237,3.418445811470961
2008,ATP,11.936775158997381,7.5787158438794515
2008,WTA,4.529811715481172,3.233864282993929
2009,ATP,11.98092443140132,7.633159604552785
2009,WTA,4.535067347886669,3.2426149477774273
2010,ATP,12.251104565537556,7.827776679934882
2010,WTA,4.6972898484152505,3.3890441013200236
2011,ATP,11.139560848529959,7.174531038020317
2011,WTA,4.555710955710956,3.2750074569091194
2012,ATP,11.617136659436008,7.399944269551139
2012,WTA,4.826413427561837,3.5001121112143245
2013,ATP,12.082312404287903,7.60896034101567
2013,WTA,4.918071161048689,3.4835521952513595
2014,ATP,12.753413654618473,8.01793658568608
2014,WTA,5.34857676154923,3.754770445350761
2015,ATP,13.365648854961831,8.38146207662463
2015,WTA,5.4406169665809765,3.9533311166983593
2016,WTA,5.133964324717874,3.6790946656649135
2017,WTA,5.207381370826011,3.6941820684427333
2018,WTA,5.461756373937677,3.8820778580111903
2019,WTA,5.694947936752796,3.994741127681849
2020,WTA,5.335173501577287,3.7627441055904423
2021,WTA,5.5976641159887235,3.8909667088451676
2022,WTA,5.267390430237233,3.739491600416768
2023,WTA,5.5077760497667185,3.890187204617915
2024,WTA,5.369283536585366,3.760877689391917
